date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-05-01 00:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,4,6,8,6,27,73,73,0.5,1028,8,7,97,18
2019-05-01 01:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,4,5,8,5,30,78,74,0.3,1028,8,6,96,20
2019-05-01 02:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,4,5,8,5,33,83,75,0.7,1027,8,5,94,22
2019-05-01 03:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,4,5,8,5,35,88,77,1.0,1027,8,4,93,24
2019-05-01 04:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,5,4,8,4,38,92,79,0.5,1026,8,5,92,26
2019-05-01 05:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,5,4,8,4,41,96,81,1.2,1026,8,7,91,29
2019-05-01 06:00:00,9,3,0.0,7.1,2,0,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,5,4,8,4,44,100,83,1.6,1025,8,8,91,31
2019-05-01 07:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,5,4,8,4,44,100,84,0.8,1024,8,9,91,32
2019-05-01 08:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,5,4,8,4,45,100,84,0.1,1023,8,9,92,33
2019-05-01 09:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,6,4,8,4,45,100,85,0.2,1023,8,10,92,33
2019-05-01 10:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,6,4,8,4,43,100,87,0.1,1021,8,10,93,32
2019-05-01 11:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,6,4,8,4,41,100,89,0.3,1020,8,9,93,30
2019-05-01 12:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,7,4,8,4,39,100,91,0.4,1019,8,9,93,28
2019-05-01 13:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,7,5,8,5,37,100,92,0.2,1018,8,9,93,27
2019-05-01 14:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,7,5,9,5,36,100,93,0.1,1017,9,8,93,25
2019-05-01 15:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,8,6,9,6,34,100,94,0.1,1016,9,7,94,23
2019-05-01 16:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,8,6,9,6,32,100,94,0.0,1016,8,6,88,21
2019-05-01 17:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,8,6,9,6,30,100,95,0.3,1016,8,6,82,18
2019-05-01 18:00:00,9,3,0.0,7.1,2,2,12,05:05 AM,04:57 PM,06:10 AM,08:20 PM,9,6,9,6,27,100,95,0.4,1015,8,5,77,16
